sample_index,timestamp_iso,common_time_ns,relative_time_sec,base_x_m,base_y_m,base_z_m,FL_hip_rad,FL_thigh_rad,FL_calf_rad,FL_hip_deg,FL_thigh_deg,FL_calf_deg,FR_hip_rad,FR_thigh_rad,FR_calf_rad,FR_hip_deg,FR_thigh_deg,FR_calf_deg,RL_hip_rad,RL_thigh_rad,RL_calf_rad,RL_hip_deg,RL_thigh_deg,RL_calf_deg,RR_hip_rad,RR_thigh_rad,RR_calf_rad,RR_hip_deg,RR_thigh_deg,RR_calf_deg
0,2026-09-15T15:57:48.435,1789451868756035000,0.000000000,0.565810719,-0.024109604,0.356223036,0.008696007,1.338348032,-2.641449052,0.498244476,76.681693731,-151.343882481,-0.015446397,1.336023310,-2.654196833,-0.885013378,76.548497000,-152.074276504,0.003803707,1.295701983,-2.614560387,0.217936368,74.238255146,-149.803275451,0.006109245,1.304978969,-2.584926736,0.350033927,74.769787295,-148.105392351
1,2026-09-15T15:57:48.634,1789451868823966000,0.067931000,0.566215614,-0.024226443,0.355681373,0.007563321,1.338288414,-2.634563553,0.433346351,76.678277912,-150.949372434,-0.014309988,1.335829566,-2.647389082,-0.819901908,76.537396292,-151.684221117,0.003367772,1.298556042,-2.613880001,0.192959094,74.401780645,-149.764292192,0.006876787,1.308164651,-2.584642905,0.394010891,74.952313396,-148.089130031
2,2026-09-15T15:57:48.667,1789451868891968000,0.135933000,0.566331534,-0.024949659,0.355244525,0.006429451,1.338228733,-2.627670832,0.368380431,76.674858420,-150.554448623,-0.013172390,1.335635620,-2.640574194,-0.754722375,76.526283981,-151.293756816,0.002931380,1.301413084,-2.613198902,0.167955705,74.565477118,-149.725268123,0.007645133,1.311353668,-2.584358777,0.438033855,75.135030600,-148.072850649
3,2026-09-15T15:57:48.734,1789451868955968000,0.199933000,0.566501094,-0.024245293,0.355752646,0.005362312,1.338172564,-2.621183744,0.307237835,76.671640194,-150.182765832,-0.012101742,1.335453085,-2.634160356,-0.693378727,76.515825518,-150.926270981,0.002520670,1.304101989,-2.612557888,0.144423743,74.719540009,-149.688540720,0.008368260,1.314355010,-2.584091369,0.479465969,75.306994861,-148.057529314
4,2026-09-15T15:57:49.301,1789451869555978000,0.799943000,0.565838478,-0.029360318,0.144608969,0.000097616,1.342373050,-2.584632718,0.005592996,76.912310307,-148.088546337,-0.006862443,1.338557030,-2.598106981,-0.393189026,76.693668432,-148.860564740,0.001178123,1.322475978,-2.605767451,0.067501454,75.772292050,-149.299477358,0.011240428,1.334432835,-2.579407179,0.644029079,76.457369517,-147.789145024
5,2026-09-15T15:57:49.368,1789451869623968000,0.867933000,0.566473530,-0.029731697,0.144754062,0.001243962,1.369626060,-2.561641670,0.071273787,78.473792770,-146.771256309,-0.008090671,1.363885817,-2.575913304,-0.463561289,78.144901029,-147.588960690,0.005299521,1.352226442,-2.583367318,0.303640179,77.476868072,-148.016044235,0.006382099,1.365315966,-2.558438221,0.365667339,78.226842549,-146.587712230
6,2026-09-15T15:57:49.434,1789451869691969000,0.935934000,0.566053005,-0.028826245,0.144711113,0.002390493,1.396883476,-2.538646902,0.136965169,80.035527663,-145.453753184,-0.009319098,1.389218699,-2.553716038,-0.533944973,79.596368271,-146.317151032,0.009421586,1.381981696,-2.560963578,0.539817128,79.181718528,-146.732404496,0.001522984,1.396204059,-2.537465896,0.087260559,79.996599915,-145.386086486
7,2026-09-15T15:57:49.467,1789451869755970000,0.999935000,0.565766254,-0.030303348,0.146182262,0.002018840,1.322627969,-2.460032073,0.115671031,75.781000515,-140.949455264,-0.008843736,1.315978127,-2.473995640,-0.506708769,75.399992585,-141.749508707,0.009105398,1.313106091,-2.491470724,0.521700860,75.235437078,-142.750757257,0.001260825,1.326166433,-2.471037700,0.072239958,75.983739571,-141.580031226
8,2026-09-15T15:57:49.534,1789451869824096000,1.068061000,0.565984328,-0.029879599,0.144595912,0.001517095,1.236276838,-2.372182025,0.086923139,70.833445151,-135.916018258,-0.008218371,1.230914088,-2.384832931,-0.470877979,70.526182163,-136.640861773,0.008461855,1.232703196,-2.413957232,0.484828584,70.628690549,-138.309561334,0.001297184,1.244363707,-2.396912130,0.074323161,71.296788572,-137.332948914
9,2026-09-15T15:57:49.567,1789451869891970000,1.135935000,0.565446752,-0.030548454,0.145659507,0.001017204,1.150245071,-2.284656885,0.058281515,65.904187965,-130.901197142,-0.007595318,1.146164622,-2.295999958,-0.435179668,65.670395441,-131.551107364,0.007820693,1.152597635,-2.336730392,0.448092685,66.038979952,-133.884789332,0.001333408,1.162863570,-2.323060753,0.076398633,66.627174710,-133.101576683
10,2026-09-15T15:57:49.701,1789451869955974000,1.199939000,0.565877107,-0.029973334,0.145333633,0.000545817,1.069118583,-2.202122173,0.031273007,61.255982612,-126.172306491,-0.007007791,1.066247307,-2.212231963,-0.401516849,61.091470584,-126.751554795,0.007216089,1.077059441,-2.263906784,0.413451431,61.710960241,-129.712303916,0.001367565,1.086010360,-2.253420189,0.078355726,62.223810125,-129.111466306
11,2026-09-15T15:57:50.267,1789451870623977000,1.867942000,0.555441070,0.422430504,0.528187556,-0.022958200,0.852082430,-2.213551052,-1.315407939,48.820727027,-126.827133044,-0.009787098,0.830006277,-2.197763961,-0.560759413,47.555856660,-125.922599349,-0.028705167,0.854023259,-2.145676224,-1.644684924,48.931928327,-122.938191822,-0.009272622,0.779636354,-2.072488272,-0.531282118,44.669872654,-118.744831078
12,2026-09-15T15:57:50.301,1789451870691976000,1.935941000,0.553586118,0.530836304,0.518376422,-0.022227600,0.833729741,-2.192633521,-1.273547678,47.769195438,-125.628646772,-0.008527434,0.813108569,-2.181203590,-0.488585997,46.587689300,-124.973759940,-0.029183252,0.847927338,-2.147026576,-1.672077184,48.582657795,-123.015561288,-0.008732584,0.773523228,-2.075756408,-0.500340231,44.319616308,-118.932081483
13,2026-09-15T15:57:50.367,1789451870755979000,1.999944000,0.553189711,0.643002422,0.470072557,-0.021573323,0.835911785,-2.183212654,-1.236060373,47.894217308,-125.088870861,-0.008500452,0.815958386,-2.173917104,-0.487040023,46.750971797,-124.556275074,-0.029598080,0.852439824,-2.143882168,-1.695845066,48.841204226,-122.835400016,-0.007703952,0.779091327,-2.075210928,-0.441403935,44.638644887,-118.900827783
14,2026-09-15T15:57:50.434,1789451870823980000,2.067945000,0.551313741,0.762002243,0.374674768,-0.020878176,0.838230137,-2.173203293,-1.196231392,48.027049104,-124.515376708,-0.008471784,0.818986221,-2.166175463,-0.485397495,46.924453924,-124.112711693,-0.030038820,0.857234190,-2.140541341,-1.721097591,49.115901114,-122.643984701,-0.006611066,0.785007259,-2.074631371,-0.378786187,44.977602830,-118.867621601
15,2026-09-15T15:57:50.567,1789451870891975000,2.135940000,0.548458412,0.875336269,0.240225120,-0.020183090,0.840548284,-2.163194806,-1.156405885,48.159869162,-123.941932659,-0.008443119,0.822013786,-2.158434504,-0.483755101,47.097920659,-123.669187426,-0.030479522,0.862028133,-2.137200808,-1.746347981,49.390573837,-122.452586285,-0.005518275,0.790922681,-2.074051866,-0.316173892,45.316531548,-118.834418386
16,2026-09-15T15:57:50.667,1789451870955981000,2.199946000,0.545005073,0.906326939,0.217624900,-0.019528783,0.842730437,-2.153773476,-1.118916823,48.284897295,-123.402130183,-0.008416137,0.824863737,-2.151147676,-0.482209103,47.261210830,-123.251682959,-0.030894369,0.866540836,-2.134056250,-1.770116934,49.649132679,-122.272416380,-0.004489595,0.796491073,-2.073506356,-0.257234845,45.635576897,-118.803162983
17,2026-09-15T15:57:51.234,1789451871559977000,2.803942000,0.550658963,0.884180503,0.228546430,-0.024804169,0.885678313,-2.025115888,-1.421174206,50.745629365,-116.030593387,-0.001593778,0.878019515,-2.044336989,-0.091316746,50.306812547,-117.131881362,-0.038520243,0.923054504,-2.046601697,-2.207047372,52.887127342,-117.261639558,0.004853307,0.865020884,-2.009576721,0.278074004,49.562045860,-115.140264704
18,2026-09-15T15:57:51.301,1789451871623980000,2.867945000,0.547575631,0.876728455,0.230375758,-0.028219927,0.872931171,-1.967581216,-1.616882731,50.015271899,-112.734099545,-0.001353691,0.865360851,-1.990582085,-0.077560780,49.581524533,-114.051952231,-0.042161345,0.911909220,-1.995027429,-2.415667118,52.248549605,-114.306651681,0.002444223,0.853560552,-1.958300466,0.140043636,48.905417185,-112.202351693
19,2026-09-15T15:57:51.367,1789451871691984000,2.935949000,0.547739718,0.884280610,0.229342962,-0.026256087,0.837549972,-1.880996869,-1.504362973,47.988078515,-107.773181886,-0.009072141,0.830607017,-1.908284760,-0.519795371,47.590276511,-109.336662869,-0.040067122,0.880090826,-1.919393916,-2.295677016,50.425489902,-109.973170628,-0.006078552,0.823182249,-1.885124086,-0.348275347,47.164868612,-108.009653974
20,2026-09-15T15:57:51.501,1789451871759980000,3.003945000,0.548116576,0.887317352,0.232784070,-0.026148563,0.808251805,-1.815074781,-1.498202328,46.309417205,-103.996124454,-0.010874080,0.802243390,-1.841842862,-0.623038889,45.965160392,-105.529822507,-0.039025256,0.854426255,-1.862010640,-2.235982482,48.955018326,-106.685351055,-0.006853458,0.798845006,-1.827833583,-0.392674231,45.770447334,-104.727149961
21,2026-09-15T15:57:51.534,1789451871823981000,3.067946000,0.549516095,0.893606955,0.231171402,-0.026047358,0.780675005,-1.753025843,-1.492403688,44.729382966,-100.440982161,-0.012570150,0.775545999,-1.779304145,-0.720216526,44.435512560,-101.946617954,-0.038044604,0.830269498,-1.807998680,-2.179795271,47.570938078,-103.590693752,-0.007582837,0.775937626,-1.773909013,-0.434464554,44.457951113,-101.637499659
22,2026-09-15T15:57:51.601,1789451871891981000,3.135946000,0.551989131,0.896984179,0.237159627,-0.025939829,0.751375113,-1.687099874,-1.486242717,43.050622811,-96.663702380,-0.014372195,0.747180313,-1.712857412,-0.823466136,42.810278443,-98.139500619,-0.037002677,0.804603299,-1.750611763,-2.120097225,46.100373195,-100.302665561,-0.008357789,0.751598890,-1.716614991,-0.478866021,43.063444303,-98.354794035
23,2026-09-15T15:57:51.667,1789451871959985000,3.203950000,0.551365000,0.895394206,0.241005778,-0.025832294,0.722073497,-1.621170025,-1.480081394,41.371763878,-92.886200311,-0.016174347,0.718812892,-1.646406563,-0.926721826,41.184944991,-94.332147410,-0.035960688,0.778935569,-1.693221411,-2.060395671,44.629720620,-97.014440648,-0.009132787,0.727258712,-1.659317569,-0.523270132,41.668854822,-95.071893556
24,2026-09-15T15:57:52.234,1789451872559981000,3.803946000,0.549814200,0.909910686,0.348607449,-0.024718539,0.621231985,-1.371867702,-1.416267964,35.593970813,-78.602229373,-0.022659622,0.620928671,-1.395443155,-1.298300683,35.576592204,-79.953003328,-0.032182709,0.692776892,-1.476140738,-1.843933416,39.693192069,-84.576634262,-0.011916717,0.644629413,-1.442624919,-0.682777577,36.934544736,-82.656319271
25,2026-09-15T15:57:52.368,1789451872623987000,3.867952000,0.550113981,0.909346290,0.345975103,-0.024505407,0.625609286,-1.371881002,-1.404056392,35.844771701,-78.602991407,-0.022518809,0.625140900,-1.395812188,-1.290232691,35.817935168,-79.974147375,-0.032226345,0.697019592,-1.476140505,-1.846433562,39.936280837,-84.576620924,-0.011934761,0.648551431,-1.442653930,-0.683811436,37.159259806,-82.657981505
26,2026-09-15T15:57:52.401,1789451872691983000,3.935948000,0.550226206,0.902495905,0.347611938,-0.024414247,0.629070004,-1.371882770,-1.398833330,36.043056228,-78.603092708,-0.022404014,0.628493576,-1.395924927,-1.283655462,36.010029356,-79.980606845,-0.032175705,0.700412786,-1.476138736,-1.843532081,40.130696565,-84.576519561,-0.011880740,0.651991890,-1.442675066,-0.680716262,37.356383556,-82.659192518
