sample_index,timestamp_iso,common_time_ns,relative_time_sec,base_x_m,base_y_m,base_z_m,FL_hip_rad,FL_thigh_rad,FL_calf_rad,FL_hip_deg,FL_thigh_deg,FL_calf_deg
0,2026-09-15T15:57:48.435,1789451868756035000,0.000000000,0.565810719,-0.024109604,0.356223036,0.008696007,1.338348032,-2.641449052,0.498244476,76.681693731,-151.343882481
1,2026-09-15T15:57:48.634,1789451868823966000,0.067931000,0.566215614,-0.024226443,0.355681373,0.007563321,1.338288414,-2.634563553,0.433346351,76.678277912,-150.949372434
2,2026-09-15T15:57:48.667,1789451868891968000,0.135933000,0.566331534,-0.024949659,0.355244525,0.006429451,1.338228733,-2.627670832,0.368380431,76.674858420,-150.554448623
3,2026-09-15T15:57:48.734,1789451868955968000,0.199933000,0.566501094,-0.024245293,0.355752646,0.005362312,1.338172564,-2.621183744,0.307237835,76.671640194,-150.182765832
4,2026-09-15T15:57:49.301,1789451869555978000,0.799943000,0.565838478,-0.029360318,0.144608969,0.000097616,1.342373050,-2.584632718,0.005592996,76.912310307,-148.088546337
5,2026-09-15T15:57:49.368,1789451869623968000,0.867933000,0.566473530,-0.029731697,0.144754062,0.001243962,1.369626060,-2.561641670,0.071273787,78.473792770,-146.771256309
6,2026-09-15T15:57:49.434,1789451869691969000,0.935934000,0.566053005,-0.028826245,0.144711113,0.002390493,1.396883476,-2.538646902,0.136965169,80.035527663,-145.453753184
7,2026-09-15T15:57:49.467,1789451869755970000,0.999935000,0.565766254,-0.030303348,0.146182262,0.002018840,1.322627969,-2.460032073,0.115671031,75.781000515,-140.949455264
8,2026-09-15T15:57:49.534,1789451869824096000,1.068061000,0.565984328,-0.029879599,0.144595912,0.001517095,1.236276838,-2.372182025,0.086923139,70.833445151,-135.916018258
9,2026-09-15T15:57:49.567,1789451869891970000,1.135935000,0.565446752,-0.030548454,0.145659507,0.001017204,1.150245071,-2.284656885,0.058281515,65.904187965,-130.901197142
10,2026-09-15T15:57:49.701,1789451869955974000,1.199939000,0.565877107,-0.029973334,0.145333633,0.000545817,1.069118583,-2.202122173,0.031273007,61.255982612,-126.172306491
11,2026-09-15T15:57:50.267,1789451870623977000,1.867942000,0.555441070,0.422430504,0.528187556,-0.022958200,0.852082430,-2.213551052,-1.315407939,48.820727027,-126.827133044
12,2026-09-15T15:57:50.301,1789451870691976000,1.935941000,0.553586118,0.530836304,0.518376422,-0.022227600,0.833729741,-2.192633521,-1.273547678,47.769195438,-125.628646772
13,2026-09-15T15:57:50.367,1789451870755979000,1.999944000,0.553189711,0.643002422,0.470072557,-0.021573323,0.835911785,-2.183212654,-1.236060373,47.894217308,-125.088870861
14,2026-09-15T15:57:50.434,1789451870823980000,2.067945000,0.551313741,0.762002243,0.374674768,-0.020878176,0.838230137,-2.173203293,-1.196231392,48.027049104,-124.515376708
15,2026-09-15T15:57:50.567,1789451870891975000,2.135940000,0.548458412,0.875336269,0.240225120,-0.020183090,0.840548284,-2.163194806,-1.156405885,48.159869162,-123.941932659
16,2026-09-15T15:57:50.667,1789451870955981000,2.199946000,0.545005073,0.906326939,0.217624900,-0.019528783,0.842730437,-2.153773476,-1.118916823,48.284897295,-123.402130183
17,2026-09-15T15:57:51.234,1789451871559977000,2.803942000,0.550658963,0.884180503,0.228546430,-0.024804169,0.885678313,-2.025115888,-1.421174206,50.745629365,-116.030593387
18,2026-09-15T15:57:51.301,1789451871623980000,2.867945000,0.547575631,0.876728455,0.230375758,-0.028219927,0.872931171,-1.967581216,-1.616882731,50.015271899,-112.734099545
19,2026-09-15T15:57:51.367,1789451871691984000,2.935949000,0.547739718,0.884280610,0.229342962,-0.026256087,0.837549972,-1.880996869,-1.504362973,47.988078515,-107.773181886
20,2026-09-15T15:57:51.501,1789451871759980000,3.003945000,0.548116576,0.887317352,0.232784070,-0.026148563,0.808251805,-1.815074781,-1.498202328,46.309417205,-103.996124454
21,2026-09-15T15:57:51.534,1789451871823981000,3.067946000,0.549516095,0.893606955,0.231171402,-0.026047358,0.780675005,-1.753025843,-1.492403688,44.729382966,-100.440982161
22,2026-09-15T15:57:51.601,1789451871891981000,3.135946000,0.551989131,0.896984179,0.237159627,-0.025939829,0.751375113,-1.687099874,-1.486242717,43.050622811,-96.663702380
23,2026-09-15T15:57:51.667,1789451871959985000,3.203950000,0.551365000,0.895394206,0.241005778,-0.025832294,0.722073497,-1.621170025,-1.480081394,41.371763878,-92.886200311
24,2026-09-15T15:57:52.234,1789451872559981000,3.803946000,0.549814200,0.909910686,0.348607449,-0.024718539,0.621231985,-1.371867702,-1.416267964,35.593970813,-78.602229373
25,2026-09-15T15:57:52.368,1789451872623987000,3.867952000,0.550113981,0.909346290,0.345975103,-0.024505407,0.625609286,-1.371881002,-1.404056392,35.844771701,-78.602991407
26,2026-09-15T15:57:52.401,1789451872691983000,3.935948000,0.550226206,0.902495905,0.347611938,-0.024414247,0.629070004,-1.371882770,-1.398833330,36.043056228,-78.603092708
27,2026-09-15T15:57:52.467,1789451872759984000,4.003949000,0.550750693,0.903501702,0.346704763,-0.024323080,0.632530976,-1.371884538,-1.393609803,36.241355326,-78.603194025
