sample_index,timestamp_iso,common_time_ns,relative_time_sec,base_x_m,base_y_m,base_z_m,FR_hip_rad,FR_thigh_rad,FR_calf_rad,FR_hip_deg,FR_thigh_deg,FR_calf_deg
0,2026-09-15T15:57:48.435,1789451868756035000,0.000000000,0.565810719,-0.024109604,0.356223036,-0.015446397,1.336023310,-2.654196833,-0.885013378,76.548497000,-152.074276504
1,2026-09-15T15:57:48.634,1789451868823966000,0.067931000,0.566215614,-0.024226443,0.355681373,-0.014309988,1.335829566,-2.647389082,-0.819901908,76.537396292,-151.684221117
2,2026-09-15T15:57:48.667,1789451868891968000,0.135933000,0.566331534,-0.024949659,0.355244525,-0.013172390,1.335635620,-2.640574194,-0.754722375,76.526283981,-151.293756816
3,2026-09-15T15:57:48.734,1789451868955968000,0.199933000,0.566501094,-0.024245293,0.355752646,-0.012101742,1.335453085,-2.634160356,-0.693378727,76.515825518,-150.926270981
4,2026-09-15T15:57:49.301,1789451869555978000,0.799943000,0.565838478,-0.029360318,0.144608969,-0.006862443,1.338557030,-2.598106981,-0.393189026,76.693668432,-148.860564740
5,2026-09-15T15:57:49.368,1789451869623968000,0.867933000,0.566473530,-0.029731697,0.144754062,-0.008090671,1.363885817,-2.575913304,-0.463561289,78.144901029,-147.588960690
6,2026-09-15T15:57:49.434,1789451869691969000,0.935934000,0.566053005,-0.028826245,0.144711113,-0.009319098,1.389218699,-2.553716038,-0.533944973,79.596368271,-146.317151032
7,2026-09-15T15:57:49.467,1789451869755970000,0.999935000,0.565766254,-0.030303348,0.146182262,-0.008843736,1.315978127,-2.473995640,-0.506708769,75.399992585,-141.749508707
8,2026-09-15T15:57:49.534,1789451869824096000,1.068061000,0.565984328,-0.029879599,0.144595912,-0.008218371,1.230914088,-2.384832931,-0.470877979,70.526182163,-136.640861773
9,2026-09-15T15:57:49.567,1789451869891970000,1.135935000,0.565446752,-0.030548454,0.145659507,-0.007595318,1.146164622,-2.295999958,-0.435179668,65.670395441,-131.551107364
10,2026-09-15T15:57:49.701,1789451869955974000,1.199939000,0.565877107,-0.029973334,0.145333633,-0.007007791,1.066247307,-2.212231963,-0.401516849,61.091470584,-126.751554795
11,2026-09-15T15:57:50.267,1789451870623977000,1.867942000,0.555441070,0.422430504,0.528187556,-0.009787098,0.830006277,-2.197763961,-0.560759413,47.555856660,-125.922599349
12,2026-09-15T15:57:50.301,1789451870691976000,1.935941000,0.553586118,0.530836304,0.518376422,-0.008527434,0.813108569,-2.181203590,-0.488585997,46.587689300,-124.973759940
13,2026-09-15T15:57:50.367,1789451870755979000,1.999944000,0.553189711,0.643002422,0.470072557,-0.008500452,0.815958386,-2.173917104,-0.487040023,46.750971797,-124.556275074
14,2026-09-15T15:57:50.434,1789451870823980000,2.067945000,0.551313741,0.762002243,0.374674768,-0.008471784,0.818986221,-2.166175463,-0.485397495,46.924453924,-124.112711693
15,2026-09-15T15:57:50.567,1789451870891975000,2.135940000,0.548458412,0.875336269,0.240225120,-0.008443119,0.822013786,-2.158434504,-0.483755101,47.097920659,-123.669187426
16,2026-09-15T15:57:50.667,1789451870955981000,2.199946000,0.545005073,0.906326939,0.217624900,-0.008416137,0.824863737,-2.151147676,-0.482209103,47.261210830,-123.251682959
17,2026-09-15T15:57:51.234,1789451871559977000,2.803942000,0.550658963,0.884180503,0.228546430,-0.001593778,0.878019515,-2.044336989,-0.091316746,50.306812547,-117.131881362
18,2026-09-15T15:57:51.301,1789451871623980000,2.867945000,0.547575631,0.876728455,0.230375758,-0.001353691,0.865360851,-1.990582085,-0.077560780,49.581524533,-114.051952231
19,2026-09-15T15:57:51.367,1789451871691984000,2.935949000,0.547739718,0.884280610,0.229342962,-0.009072141,0.830607017,-1.908284760,-0.519795371,47.590276511,-109.336662869
20,2026-09-15T15:57:51.501,1789451871759980000,3.003945000,0.548116576,0.887317352,0.232784070,-0.010874080,0.802243390,-1.841842862,-0.623038889,45.965160392,-105.529822507
21,2026-09-15T15:57:51.534,1789451871823981000,3.067946000,0.549516095,0.893606955,0.231171402,-0.012570150,0.775545999,-1.779304145,-0.720216526,44.435512560,-101.946617954
22,2026-09-15T15:57:51.601,1789451871891981000,3.135946000,0.551989131,0.896984179,0.237159627,-0.014372195,0.747180313,-1.712857412,-0.823466136,42.810278443,-98.139500619
23,2026-09-15T15:57:51.667,1789451871959985000,3.203950000,0.551365000,0.895394206,0.241005778,-0.016174347,0.718812892,-1.646406563,-0.926721826,41.184944991,-94.332147410
24,2026-09-15T15:57:52.234,1789451872559981000,3.803946000,0.549814200,0.909910686,0.348607449,-0.022659622,0.620928671,-1.395443155,-1.298300683,35.576592204,-79.953003328
25,2026-09-15T15:57:52.368,1789451872623987000,3.867952000,0.550113981,0.909346290,0.345975103,-0.022518809,0.625140900,-1.395812188,-1.290232691,35.817935168,-79.974147375
26,2026-09-15T15:57:52.401,1789451872691983000,3.935948000,0.550226206,0.902495905,0.347611938,-0.022404014,0.628493576,-1.395924927,-1.283655462,36.010029356,-79.980606845
27,2026-09-15T15:57:52.467,1789451872759984000,4.003949000,0.550750693,0.903501702,0.346704763,-0.022289212,0.631846500,-1.396037676,-1.277077776,36.202137729,-79.987066871
