sample_index,timestamp_iso,common_time_ns,relative_time_sec,base_x_m,base_y_m,base_z_m,RL_hip_rad,RL_thigh_rad,RL_calf_rad,RL_hip_deg,RL_thigh_deg,RL_calf_deg
0,2026-09-15T15:57:48.435,1789451868756035000,0.000000000,0.565810719,-0.024109604,0.356223036,0.003803707,1.295701983,-2.614560387,0.217936368,74.238255146,-149.803275451
1,2026-09-15T15:57:48.634,1789451868823966000,0.067931000,0.566215614,-0.024226443,0.355681373,0.003367772,1.298556042,-2.613880001,0.192959094,74.401780645,-149.764292192
2,2026-09-15T15:57:48.667,1789451868891968000,0.135933000,0.566331534,-0.024949659,0.355244525,0.002931380,1.301413084,-2.613198902,0.167955705,74.565477118,-149.725268123
3,2026-09-15T15:57:48.734,1789451868955968000,0.199933000,0.566501094,-0.024245293,0.355752646,0.002520670,1.304101989,-2.612557888,0.144423743,74.719540009,-149.688540720
4,2026-09-15T15:57:49.301,1789451869555978000,0.799943000,0.565838478,-0.029360318,0.144608969,0.001178123,1.322475978,-2.605767451,0.067501454,75.772292050,-149.299477358
5,2026-09-15T15:57:49.368,1789451869623968000,0.867933000,0.566473530,-0.029731697,0.144754062,0.005299521,1.352226442,-2.583367318,0.303640179,77.476868072,-148.016044235
6,2026-09-15T15:57:49.434,1789451869691969000,0.935934000,0.566053005,-0.028826245,0.144711113,0.009421586,1.381981696,-2.560963578,0.539817128,79.181718528,-146.732404496
7,2026-09-15T15:57:49.467,1789451869755970000,0.999935000,0.565766254,-0.030303348,0.146182262,0.009105398,1.313106091,-2.491470724,0.521700860,75.235437078,-142.750757257
8,2026-09-15T15:57:49.534,1789451869824096000,1.068061000,0.565984328,-0.029879599,0.144595912,0.008461855,1.232703196,-2.413957232,0.484828584,70.628690549,-138.309561334
9,2026-09-15T15:57:49.567,1789451869891970000,1.135935000,0.565446752,-0.030548454,0.145659507,0.007820693,1.152597635,-2.336730392,0.448092685,66.038979952,-133.884789332
10,2026-09-15T15:57:49.701,1789451869955974000,1.199939000,0.565877107,-0.029973334,0.145333633,0.007216089,1.077059441,-2.263906784,0.413451431,61.710960241,-129.712303916
11,2026-09-15T15:57:50.267,1789451870623977000,1.867942000,0.555441070,0.422430504,0.528187556,-0.028705167,0.854023259,-2.145676224,-1.644684924,48.931928327,-122.938191822
12,2026-09-15T15:57:50.301,1789451870691976000,1.935941000,0.553586118,0.530836304,0.518376422,-0.029183252,0.847927338,-2.147026576,-1.672077184,48.582657795,-123.015561288
13,2026-09-15T15:57:50.367,1789451870755979000,1.999944000,0.553189711,0.643002422,0.470072557,-0.029598080,0.852439824,-2.143882168,-1.695845066,48.841204226,-122.835400016
14,2026-09-15T15:57:50.434,1789451870823980000,2.067945000,0.551313741,0.762002243,0.374674768,-0.030038820,0.857234190,-2.140541341,-1.721097591,49.115901114,-122.643984701
15,2026-09-15T15:57:50.567,1789451870891975000,2.135940000,0.548458412,0.875336269,0.240225120,-0.030479522,0.862028133,-2.137200808,-1.746347981,49.390573837,-122.452586285
16,2026-09-15T15:57:50.667,1789451870955981000,2.199946000,0.545005073,0.906326939,0.217624900,-0.030894369,0.866540836,-2.134056250,-1.770116934,49.649132679,-122.272416380
17,2026-09-15T15:57:51.234,1789451871559977000,2.803942000,0.550658963,0.884180503,0.228546430,-0.038520243,0.923054504,-2.046601697,-2.207047372,52.887127342,-117.261639558
18,2026-09-15T15:57:51.301,1789451871623980000,2.867945000,0.547575631,0.876728455,0.230375758,-0.042161345,0.911909220,-1.995027429,-2.415667118,52.248549605,-114.306651681
19,2026-09-15T15:57:51.367,1789451871691984000,2.935949000,0.547739718,0.884280610,0.229342962,-0.040067122,0.880090826,-1.919393916,-2.295677016,50.425489902,-109.973170628
20,2026-09-15T15:57:51.501,1789451871759980000,3.003945000,0.548116576,0.887317352,0.232784070,-0.039025256,0.854426255,-1.862010640,-2.235982482,48.955018326,-106.685351055
21,2026-09-15T15:57:51.534,1789451871823981000,3.067946000,0.549516095,0.893606955,0.231171402,-0.038044604,0.830269498,-1.807998680,-2.179795271,47.570938078,-103.590693752
22,2026-09-15T15:57:51.601,1789451871891981000,3.135946000,0.551989131,0.896984179,0.237159627,-0.037002677,0.804603299,-1.750611763,-2.120097225,46.100373195,-100.302665561
23,2026-09-15T15:57:51.667,1789451871959985000,3.203950000,0.551365000,0.895394206,0.241005778,-0.035960688,0.778935569,-1.693221411,-2.060395671,44.629720620,-97.014440648
24,2026-09-15T15:57:52.234,1789451872559981000,3.803946000,0.549814200,0.909910686,0.348607449,-0.032182709,0.692776892,-1.476140738,-1.843933416,39.693192069,-84.576634262
25,2026-09-15T15:57:52.368,1789451872623987000,3.867952000,0.550113981,0.909346290,0.345975103,-0.032226345,0.697019592,-1.476140505,-1.846433562,39.936280837,-84.576620924
26,2026-09-15T15:57:52.401,1789451872691983000,3.935948000,0.550226206,0.902495905,0.347611938,-0.032175705,0.700412786,-1.476138736,-1.843532081,40.130696565,-84.576519561
27,2026-09-15T15:57:52.467,1789451872759984000,4.003949000,0.550750693,0.903501702,0.346704763,-0.032125060,0.703806231,-1.476136970,-1.840630370,40.325126632,-84.576418343
