sample_index,timestamp_iso,common_time_ns,relative_time_sec,base_x_m,base_y_m,base_z_m,RR_hip_rad,RR_thigh_rad,RR_calf_rad,RR_hip_deg,RR_thigh_deg,RR_calf_deg
0,2026-09-15T15:57:48.435,1789451868756035000,0.000000000,0.565810719,-0.024109604,0.356223036,0.006109245,1.304978969,-2.584926736,0.350033927,74.769787295,-148.105392351
1,2026-09-15T15:57:48.634,1789451868823966000,0.067931000,0.566215614,-0.024226443,0.355681373,0.006876787,1.308164651,-2.584642905,0.394010891,74.952313396,-148.089130031
2,2026-09-15T15:57:48.667,1789451868891968000,0.135933000,0.566331534,-0.024949659,0.355244525,0.007645133,1.311353668,-2.584358777,0.438033855,75.135030600,-148.072850649
3,2026-09-15T15:57:48.734,1789451868955968000,0.199933000,0.566501094,-0.024245293,0.355752646,0.008368260,1.314355010,-2.584091369,0.479465969,75.306994861,-148.057529314
4,2026-09-15T15:57:49.301,1789451869555978000,0.799943000,0.565838478,-0.029360318,0.144608969,0.011240428,1.334432835,-2.579407179,0.644029079,76.457369517,-147.789145024
5,2026-09-15T15:57:49.368,1789451869623968000,0.867933000,0.566473530,-0.029731697,0.144754062,0.006382099,1.365315966,-2.558438221,0.365667339,78.226842549,-146.587712230
6,2026-09-15T15:57:49.434,1789451869691969000,0.935934000,0.566053005,-0.028826245,0.144711113,0.001522984,1.396204059,-2.537465896,0.087260559,79.996599915,-145.386086486
7,2026-09-15T15:57:49.467,1789451869755970000,0.999935000,0.565766254,-0.030303348,0.146182262,0.001260825,1.326166433,-2.471037700,0.072239958,75.983739571,-141.580031226
8,2026-09-15T15:57:49.534,1789451869824096000,1.068061000,0.565984328,-0.029879599,0.144595912,0.001297184,1.244363707,-2.396912130,0.074323161,71.296788572,-137.332948914
9,2026-09-15T15:57:49.567,1789451869891970000,1.135935000,0.565446752,-0.030548454,0.145659507,0.001333408,1.162863570,-2.323060753,0.076398633,66.627174710,-133.101576683
10,2026-09-15T15:57:49.701,1789451869955974000,1.199939000,0.565877107,-0.029973334,0.145333633,0.001367565,1.086010360,-2.253420189,0.078355726,62.223810125,-129.111466306
11,2026-09-15T15:57:50.267,1789451870623977000,1.867942000,0.555441070,0.422430504,0.528187556,-0.009272622,0.779636354,-2.072488272,-0.531282118,44.669872654,-118.744831078
12,2026-09-15T15:57:50.301,1789451870691976000,1.935941000,0.553586118,0.530836304,0.518376422,-0.008732584,0.773523228,-2.075756408,-0.500340231,44.319616308,-118.932081483
13,2026-09-15T15:57:50.367,1789451870755979000,1.999944000,0.553189711,0.643002422,0.470072557,-0.007703952,0.779091327,-2.075210928,-0.441403935,44.638644887,-118.900827783
14,2026-09-15T15:57:50.434,1789451870823980000,2.067945000,0.551313741,0.762002243,0.374674768,-0.006611066,0.785007259,-2.074631371,-0.378786187,44.977602830,-118.867621601
15,2026-09-15T15:57:50.567,1789451870891975000,2.135940000,0.548458412,0.875336269,0.240225120,-0.005518275,0.790922681,-2.074051866,-0.316173892,45.316531548,-118.834418386
16,2026-09-15T15:57:50.667,1789451870955981000,2.199946000,0.545005073,0.906326939,0.217624900,-0.004489595,0.796491073,-2.073506356,-0.257234845,45.635576897,-118.803162983
17,2026-09-15T15:57:51.234,1789451871559977000,2.803942000,0.550658963,0.884180503,0.228546430,0.004853307,0.865020884,-2.009576721,0.278074004,49.562045860,-115.140264704
18,2026-09-15T15:57:51.301,1789451871623980000,2.867945000,0.547575631,0.876728455,0.230375758,0.002444223,0.853560552,-1.958300466,0.140043636,48.905417185,-112.202351693
19,2026-09-15T15:57:51.367,1789451871691984000,2.935949000,0.547739718,0.884280610,0.229342962,-0.006078552,0.823182249,-1.885124086,-0.348275347,47.164868612,-108.009653974
20,2026-09-15T15:57:51.501,1789451871759980000,3.003945000,0.548116576,0.887317352,0.232784070,-0.006853458,0.798845006,-1.827833583,-0.392674231,45.770447334,-104.727149961
21,2026-09-15T15:57:51.534,1789451871823981000,3.067946000,0.549516095,0.893606955,0.231171402,-0.007582837,0.775937626,-1.773909013,-0.434464554,44.457951113,-101.637499659
22,2026-09-15T15:57:51.601,1789451871891981000,3.135946000,0.551989131,0.896984179,0.237159627,-0.008357789,0.751598890,-1.716614991,-0.478866021,43.063444303,-98.354794035
23,2026-09-15T15:57:51.667,1789451871959985000,3.203950000,0.551365000,0.895394206,0.241005778,-0.009132787,0.727258712,-1.659317569,-0.523270132,41.668854822,-95.071893556
24,2026-09-15T15:57:52.234,1789451872559981000,3.803946000,0.549814200,0.909910686,0.348607449,-0.011916717,0.644629413,-1.442624919,-0.682777577,36.934544736,-82.656319271
25,2026-09-15T15:57:52.368,1789451872623987000,3.867952000,0.550113981,0.909346290,0.345975103,-0.011934761,0.648551431,-1.442653930,-0.683811436,37.159259806,-82.657981505
26,2026-09-15T15:57:52.401,1789451872691983000,3.935948000,0.550226206,0.902495905,0.347611938,-0.011880740,0.651991890,-1.442675066,-0.680716262,37.356383556,-82.659192518
27,2026-09-15T15:57:52.467,1789451872759984000,4.003949000,0.550750693,0.903501702,0.346704763,-0.011826714,0.655432602,-1.442696205,-0.677620823,37.553521863,-82.660403648
