trial,filename,sensor_duration_sec,euclidean_distance_cm,start_sensor_time_ns,stationary_sensor_time_ns,x_start_m,y_start_m,z_start_m,x_stationary_m,y_stationary_m,z_stationary_m,dx_m,dy_m,dz_m
1,Tf_stationary_0.2_0.15_0.0.csv,2.668018944,48.37650233668357,1786250651901298944,1786250654569317888,0.559987298,-0.098148014,0.359335888,0.307602508,0.31455885100000003,0.357449306,-0.25238479,0.41270686500000003,-0.00188658199999997
2,Tf_stationary_0.2_0.15_0.0.csv,2.868013824,53.77258111012332,1786250887802413056,1786250890670426880,0.496424851,-0.154713946,0.370272589,0.32830770800000003,0.355615291,0.34906542,-0.16811714299999997,0.510329237,-0.02120716899999997
3,Tf_stationary_0.2_0.15_0.0.csv,2.400011008,51.009530112679094,1786251036535051008,1786251038935062016,0.457561318,-0.16822661100000003,0.35931935299999995,0.192254454,0.267306285,0.348338431,-0.26530686400000003,0.435532896,-0.010980921999999949
4,Tf_stationary_0.2_0.15_0.0.csv,2.868011008,50.129595882078156,1786251191999699968,1786251194867710976,0.482219632,0.129418442,0.352979709,0.24669703199999998,0.571826321,0.34287961899999997,-0.23552260000000003,0.442407879,-0.010100090000000006
5,Tf_stationary_0.2_0.15_0.0.csv,3.004009216,51.37285209730437,1786251369544399872,1786251372548409088,0.587358855,-0.160782725,0.369631721,0.427274318,0.327136608,0.3546431,-0.16008453699999997,0.487919333,-0.014988621000000035
6,Tf_stationary_0.2_0.15_0.0.csv,2.936,55.29081795809806,1786251721965735936,1786251724901735936,0.5540945,0.045987527,0.36280205200000004,0.283744512,0.528025792,0.3467568,-0.27034998800000004,0.482038265,-0.016045252000000065
7,Tf_stationary_0.2_0.15_0.0.csv,2.736008192,56.96785547956461,1786251892789861888,1786251895525870080,0.593892756,0.047088059,0.362916132,0.366160737,0.5690475079999999,0.347746527,-0.227732019,0.5219594489999999,-0.015169604999999975
8,Tf_stationary_0.2_0.15_0.0.csv,2.400013824,52.29716367502999,1786251996570234112,1786251998970247936,0.50453307,0.010954172,0.351850944,0.243247401,0.463865662,0.341835244,-0.26128566900000005,0.45291149,-0.010015700000000016
9,Tf_stationary_0.2_0.15_0.0.csv,2.4000192,51.7508755610653,1786252145502769920,1786252147902789120,0.521615686,0.022674332000000002,0.35351287600000003,0.269155913,0.474356712,0.345613335,-0.25245977299999994,0.45168238,-0.00789954100000001
10,Tf_stationary_0.2_0.15_0.0.csv,3.736012032,57.40223216938614,1786252486905000960,1786252490641012992,0.48513419799999996,0.07684891,0.352903374,0.000493182,0.38434497799999995,0.34448437299999995,-0.484641016,0.30749606799999996,-0.008419001000000037
11,Tf_stationary_0.2_0.15_0.0.csv,2.73600896,50.77436950491815,1786252571941303040,1786252574677312000,0.5838893829999999,-0.017519082,0.359502084,0.21689544600000002,0.33325272300000003,0.35065613100000004,-0.36699393699999994,0.35077180500000005,-0.008845952999999962
