trial,filename,sensor_duration_sec,euclidean_distance_cm,start_sensor_time_ns,stationary_sensor_time_ns,x_start_m,y_start_m,z_start_m,x_stationary_m,y_stationary_m,z_stationary_m,dx_m,dy_m,dz_m
1,Tf_stationary_0.15_0.0_0.0.csv,3.736007936,50.63255420263254,1786175302769878016,1786175306505885952,0.560971009,-0.216909888,0.37160109399999997,0.617998444,0.286159585,0.36572474299999996,0.05702743500000007,0.503069473,-0.005876351000000002
2,Tf_stationary_0.15_0.0_0.0.csv,3.668011008,50.94162561951124,1786175692948794112,1786175696616805120,0.564662865,-0.12230039,0.36649927299999996,0.633759903,0.382403475,0.368627669,0.069097038,0.504703865,0.0021283960000000324
3,Tf_stationary_0.15_0.0_0.0.csv,3.800009984,45.12180316496006,1786176353713007104,1786176357513017088,0.513922137,-0.10692974,0.365356323,0.557591495,0.342167189,0.36372917200000005,0.04366935800000005,0.449096929,-0.0016271509999999378
4,Tf_stationary_0.15_0.0_0.0.csv,3.868018944,49.00169750978128,1786182355634057984,1786182359502076928,0.433232636,-0.179220372,0.360605566,0.48597674,0.307948861,0.36151869,0.052744104000000014,0.48716923300000003,0.0009131239999999874
5,Tf_stationary_0.15_0.0_0.0.csv,3.800015872,48.785787933895605,1786182519700805120,1786182523500820992,0.54819631,-0.075238748,0.368237486,0.646777346,0.40255515299999994,0.367958306,0.09858103600000001,0.47779390099999997,-0.00027917999999999
6,Tf_stationary_0.15_0.0_0.0.csv,4.000020992,50.091643354409364,1786182615941250048,1786182619941271040,0.490136936,-0.113633272,0.363562933,0.555200966,0.38303811600000004,0.364778555,0.06506403,0.49667138800000005,0.0012156220000000273
7,Tf_stationary_0.15_0.0_0.0.csv,3.936016896,50.2927436497673,1786182745929844992,1786182749865861888,0.473629221,-0.129052193,0.36452786,0.615122445,0.35355997100000003,0.363444761,0.14149322400000003,0.48261216400000007,-0.0010830989999999763
8,Tf_stationary_0.15_0.0_0.0.csv,4.336015104,50.49177834624332,1786182884522481920,1786182888858497024,0.484528746,-0.008210771,0.363623982,0.6704236020000001,0.46122631,0.367351924,0.18589485600000005,0.469437081,0.003727941999999984
9,Tf_stationary_0.15_0.0_0.0.csv,3.735993856,49.314133601771246,1786183010778636032,1786183014514629888,0.43945297299999997,-0.091093464,0.358702012,0.470986155,0.40102445299999995,0.35496149200000005,0.03153318200000005,0.49211791699999996,-0.0037405199999999694
10,Tf_stationary_0.15_0.0_0.0.csv,3.868007168,46.89685021121478,1786183424668325888,1786183428536333056,0.41101544700000003,-0.155409335,0.356843911,0.459367874,0.311057692,0.358262184,0.048352426999999976,0.466467027,0.00141827299999997
11,Tf_stationary_0.15_0.0_0.0.csv,4.004,49.3867301940384,1786183634556836096,1786183638560836096,0.581000789,-0.031401039,0.362085626,0.646235669,0.458138686,0.362509895,0.06523488,0.48953972500000004,0.00042426900000003265
